CVE,CVE-Description,CVSSv2 Base (nvd),CVSSv3.1 Base (nvd),QID,Title,Severity,KB Severity,Type Detected,Last Detected,First Detected,Protocol,Port,Status,Asset Id,Asset Name,Asset IPV4,Asset IPV6,Solution,Asset Tags,Disabled,Ignored,QVS Score,Detection AGE,Published Date,Patch Released,Category,CVSS Rating Labels,RTI,Operating System,Last Fixed,Last Reopened,Times Detected,Threat,Vuln Patchable,Asset Critical Score,TruRisk Score,Vulnerability Tags,Results
CVE-2024-3661,"DHCP can add routes to a client’s routing table via the classless static route option (121). VPN-based security solutions that rely on routes to redirect traffic can be forced to leak traffic over the physical interface. An attacker on the same local network can read, disrupt, or possibly modify network traffic that was expected to be protected by the VPN.",'-,7.6,249938,Red Hat Update for NetworkManager (RHSA-2025:0377),3,3,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,269715075,zpa-connector,10.35.152.51,fe80:0:0:0:ac17:a9c8:6d9a:6502,Refer to Red Hat security advisory RHSA-2025:0377 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:0377),"CH,Cloud Agent,All",No,No,42,11,"Feb 19, 2025","Jan 16, 2025",RedHat,HIGH,"High Lateral Movement,Public Exploit",Red Hat Enterprise Linux 9.4,'-,'-,60,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",No,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
NetworkManager-team 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager-tui 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager-libnm 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
"
CVE-2023-52490,"In the Linux kernel, the following vulnerability has been resolved:

mm: migrate: fix getting incorrect page mapping during page migration

When running stress-ng testing, we found below kernel crash after a few hours:

Unable to handle kernel NULL pointer dereference at virtual address 0000000000000000
pc : dentry_name+0xd8/0x224
lr : pointer+0x22c/0x370
sp : ffff800025f134c0
......
Call trace:
  dentry_name+0xd8/0x224
  pointer+0x22c/0x370
  vsnprintf+0x1ec/0x730
  vscnprintf+0x2c/0x60
  vprintk_store+0x70/0x234
  vprintk_emit+0xe0/0x24c
  vprintk_default+0x3c/0x44
  vprintk_func+0x84/0x2d0
  printk+0x64/0x88
  __dump_page+0x52c/0x530
  dump_page+0x14/0x20
  set_migratetype_isolate+0x110/0x224
  start_isolate_page_range+0xc4/0x20c
  offline_pages+0x124/0x474
  memory_block_offline+0x44/0xf4
  memory_subsys_offline+0x3c/0x70
  device_offline+0xf0/0x120
  ......

After analyzing the vmcore, I found this issue is caused by page migration.
The scenario is that, one thread is doing page migration, and we will use the
target page's ->mapping field to save 'anon_vma' pointer between page unmap and
page move, and now the target page is locked and refcount is 1.

Currently, there is another stress-ng thread performing memory hotplug,
attempting to offline the target page that is being migrated. It discovers that
the refcount of this target page is 1, preventing the offline operation, thus
proceeding to dump the page. However, page_mapping() of the target page may
return an incorrect file mapping to crash the system in dump_mapping(), since
the target page->mapping only saves 'anon_vma' pointer without setting
PAGE_MAPPING_ANON flag.

There are seveval ways to fix this issue:
(1) Setting the PAGE_MAPPING_ANON flag for target page's ->mapping when saving
'anon_vma', but this can confuse PageAnon() for PFN walkers, since the target
page has not built mappings yet.
(2) Getting the page lock to call page_mapping() in __dump_page() to avoid crashing
the system, however, there are still some PFN walkers that call page_mapping()
without holding the page lock, such as compaction.
(3) Using target page->private field to save the 'anon_vma' pointer and 2 bits
page state, just as page->mapping records an anonymous page, which can remove
the page_mapping() impact for PFN walkers and also seems a simple way.

So I choose option 3 to fix this issue, and this can also fix other potential
issues for PFN walkers, such as compaction.",'-,5.5,249944,Red Hat Update for kernel (RHSA-2025:1659),3,3,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,269715075,zpa-connector,10.35.152.51,fe80:0:0:0:ac17:a9c8:6d9a:6502,Refer to Red Hat security advisory RHSA-2025:1659 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:1659),"CH,Cloud Agent,All",No,No,30,11,"Feb 19, 2025","Feb 19, 2025",RedHat,MEDIUM,High Lateral Movement,Red Hat Enterprise Linux 9.4,'-,'-,60,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
kernel-tools 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-tools-libs 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
"
CVE-2024-11187,"It is possible to construct a zone such that some queries to it will generate responses containing numerous records in the Additional section. An attacker sending many such queries can cause either the authoritative server itself or an independent resolver to use disproportionate resources processing the queries. Zones will usually need to have been deliberately crafted to attack this exposure.
This issue affects BIND 9 versions 9.11.0 through 9.11.37, 9.16.0 through 9.16.50, 9.18.0 through 9.18.32, 9.20.0 through 9.20.4, 9.21.0 through 9.21.3, 9.11.3-S1 through 9.11.37-S1, 9.16.8-S1 through 9.16.50-S1, and 9.18.11-S1 through 9.18.32-S1.",'-,7.5,249958,Red Hat Update for bind (RHSA-2025:1681),4,4,Confirmed,"Mar 3, 2025","Feb 21, 2025",'-,'-,ACTIVE,269715075,zpa-connector,10.35.152.51,fe80:0:0:0:ac17:a9c8:6d9a:6502,Refer to Red Hat security advisory RHSA-2025:1681 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:1681),"CH,Cloud Agent,All",No,No,35,10,"Feb 20, 2025","Feb 19, 2025",RedHat,HIGH,High Lateral Movement,Red Hat Enterprise Linux 9.4,'-,'-,55,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",No,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
bind-utils 9.16.23-24.el9__5.x86__64 9.16.23-24.el9__5.3
bind-license 9.16.23-24.el9__5.noarch 9.16.23-24.el9__5.3
bind-libs 9.16.23-24.el9__5.x86__64 9.16.23-24.el9__5.3
"
CVE-2025-1414,Memory safety bugs present in Firefox 135. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 135.0.1.,'-,'-,382844,Mozilla Firefox Multiple Vulnerability (MFSA2025-12),4,4,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,128288989,ptprt-srv-dbbi.portugal.pt,10.200.1.183,,"Vendor has released fix to address these vulnerabilities. Upgrade to Firefox 135.0.1 to fix vulnerability, you can also refer MFSA2025-12 or later for more details.(https://www.mozilla.org/en-US/security/advisories/mfsa2025-12/)","PT,Cloud Agent,All,Windows-PT,wX,Group-2",No,No,30,11,"Feb 19, 2025","Feb 18, 2025",Local,MEDIUM,High Lateral Movement,Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,72,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,149,,"C:\Program Files\Mozilla Firefox\firefox.exe  Version is  132.0.0.0
"
CVE-2025-1414,Memory safety bugs present in Firefox 135. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code. This vulnerability affects Firefox < 135.0.1.,'-,'-,382844,Mozilla Firefox Multiple Vulnerability (MFSA2025-12),4,4,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,144092771,SPPUNIMDF02V.czech.lan,10.226.26.7,fe80:0:0:0:e946:d553:120f:fd2a,"Vendor has released fix to address these vulnerabilities. Upgrade to Firefox 135.0.1 to fix vulnerability, you can also refer MFSA2025-12 or later for more details.(https://www.mozilla.org/en-US/security/advisories/mfsa2025-12/)","CH,Cloud Agent,All",No,No,30,11,"Feb 19, 2025","Feb 18, 2025",Local,MEDIUM,High Lateral Movement,Microsoft Windows Server 2019 Standard 10.0.17763 64-bit N/A Build 17763 UBR 6775,'-,'-,71,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,248,,"C:\Program Files\Mozilla Firefox\firefox.exe  Version is  135.0.0.0
"
CVE-2024-3661,"DHCP can add routes to a client’s routing table via the classless static route option (121). VPN-based security solutions that rely on routes to redirect traffic can be forced to leak traffic over the physical interface. An attacker on the same local network can read, disrupt, or possibly modify network traffic that was expected to be protected by the VPN.",'-,7.6,249938,Red Hat Update for NetworkManager (RHSA-2025:0377),3,3,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,269713066,zpa-connector,10.35.152.50,fe80:0:0:0:3f32:5ac4:1fa0:716b,Refer to Red Hat security advisory RHSA-2025:0377 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:0377),"CH,Cloud Agent,All",No,No,42,11,"Feb 19, 2025","Jan 16, 2025",RedHat,HIGH,"High Lateral Movement,Public Exploit",Red Hat Enterprise Linux 9.4,'-,'-,61,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",No,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
NetworkManager-team 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager-tui 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
NetworkManager-libnm 1.48.10-2.el9__5.x86__64 1.48.10-5.el9__5
"
CVE-2024-11187,"It is possible to construct a zone such that some queries to it will generate responses containing numerous records in the Additional section. An attacker sending many such queries can cause either the authoritative server itself or an independent resolver to use disproportionate resources processing the queries. Zones will usually need to have been deliberately crafted to attack this exposure.
This issue affects BIND 9 versions 9.11.0 through 9.11.37, 9.16.0 through 9.16.50, 9.18.0 through 9.18.32, 9.20.0 through 9.20.4, 9.21.0 through 9.21.3, 9.11.3-S1 through 9.11.37-S1, 9.16.8-S1 through 9.16.50-S1, and 9.18.11-S1 through 9.18.32-S1.",'-,7.5,249958,Red Hat Update for bind (RHSA-2025:1681),4,4,Confirmed,"Mar 3, 2025","Feb 21, 2025",'-,'-,ACTIVE,269713066,zpa-connector,10.35.152.50,fe80:0:0:0:3f32:5ac4:1fa0:716b,Refer to Red Hat security advisory RHSA-2025:1681 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:1681),"CH,Cloud Agent,All",No,No,35,10,"Feb 20, 2025","Feb 19, 2025",RedHat,HIGH,High Lateral Movement,Red Hat Enterprise Linux 9.4,'-,'-,56,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",No,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
bind-utils 9.16.23-24.el9__5.x86__64 9.16.23-24.el9__5.3
bind-license 9.16.23-24.el9__5.noarch 9.16.23-24.el9__5.3
bind-libs 9.16.23-24.el9__5.x86__64 9.16.23-24.el9__5.3
"
CVE-2023-52490,"In the Linux kernel, the following vulnerability has been resolved:

mm: migrate: fix getting incorrect page mapping during page migration

When running stress-ng testing, we found below kernel crash after a few hours:

Unable to handle kernel NULL pointer dereference at virtual address 0000000000000000
pc : dentry_name+0xd8/0x224
lr : pointer+0x22c/0x370
sp : ffff800025f134c0
......
Call trace:
  dentry_name+0xd8/0x224
  pointer+0x22c/0x370
  vsnprintf+0x1ec/0x730
  vscnprintf+0x2c/0x60
  vprintk_store+0x70/0x234
  vprintk_emit+0xe0/0x24c
  vprintk_default+0x3c/0x44
  vprintk_func+0x84/0x2d0
  printk+0x64/0x88
  __dump_page+0x52c/0x530
  dump_page+0x14/0x20
  set_migratetype_isolate+0x110/0x224
  start_isolate_page_range+0xc4/0x20c
  offline_pages+0x124/0x474
  memory_block_offline+0x44/0xf4
  memory_subsys_offline+0x3c/0x70
  device_offline+0xf0/0x120
  ......

After analyzing the vmcore, I found this issue is caused by page migration.
The scenario is that, one thread is doing page migration, and we will use the
target page's ->mapping field to save 'anon_vma' pointer between page unmap and
page move, and now the target page is locked and refcount is 1.

Currently, there is another stress-ng thread performing memory hotplug,
attempting to offline the target page that is being migrated. It discovers that
the refcount of this target page is 1, preventing the offline operation, thus
proceeding to dump the page. However, page_mapping() of the target page may
return an incorrect file mapping to crash the system in dump_mapping(), since
the target page->mapping only saves 'anon_vma' pointer without setting
PAGE_MAPPING_ANON flag.

There are seveval ways to fix this issue:
(1) Setting the PAGE_MAPPING_ANON flag for target page's ->mapping when saving
'anon_vma', but this can confuse PageAnon() for PFN walkers, since the target
page has not built mappings yet.
(2) Getting the page lock to call page_mapping() in __dump_page() to avoid crashing
the system, however, there are still some PFN walkers that call page_mapping()
without holding the page lock, such as compaction.
(3) Using target page->private field to save the 'anon_vma' pointer and 2 bits
page state, just as page->mapping records an anonymous page, which can remove
the page_mapping() impact for PFN walkers and also seems a simple way.

So I choose option 3 to fix this issue, and this can also fix other potential
issues for PFN walkers, such as compaction.",'-,5.5,249944,Red Hat Update for kernel (RHSA-2025:1659),3,3,Confirmed,"Mar 3, 2025","Feb 19, 2025",'-,'-,ACTIVE,269713066,zpa-connector,10.35.152.50,fe80:0:0:0:3f32:5ac4:1fa0:716b,Refer to Red Hat security advisory RHSA-2025:1659 for updates and patch information.(https://access.redhat.com/errata/RHSA-2025:1659),"CH,Cloud Agent,All",No,No,30,11,"Feb 19, 2025","Feb 19, 2025",RedHat,MEDIUM,High Lateral Movement,Red Hat Enterprise Linux 9.4,'-,'-,61,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",Yes,2,251,,"#table cols=""3""
Package Installed_Version Required_Version
kernel-tools 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-modules-core 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-tools-libs 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
kernel-core 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-362.8.1.el9__3.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-427.16.1.el9__4.x86__64 5.14.0-503.26.1.el9__5
kernel-modules 5.14.0-503.15.1.el9__5.x86__64 5.14.0-503.26.1.el9__5
"
CVE-2017-3259,"Vulnerability in the Java SE component of Oracle Java SE (subcomponent: Deployment). Supported versions that are affected are Java SE: 6u131, 7u121 and 8u112. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE. Successful attacks of this vulnerability can result in unauthorized read access to a subset of Java SE accessible data. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability does not apply to Java deployments, typically in servers, that load and run only trusted code (e.g., code installed by an administrator). CVSS v3.0 Base Score 3.7 (Confidentiality impacts).",4.3,3.7,370280,Oracle Java SE Critical Patch Update - January 2017,5,5,Confirmed,"Mar 3, 2025","Feb 24, 2025",'-,'-,ACTIVE,147238993,SRVCOPMGT05V.czech.net,10.43.217.205,,"The vendor released updates (Java SE JDK and JRE 8 Update 121 or later, Java SE JDK and JRE 7 Update 131, Java SE JDK and JRE 6 Update 141) to resolve these issues. 

Refer to vendor advisory Oracle Java SE CPU January 2017 and Oracle Doc ID 2219954.1 to obtain more details.

Updates for Java 5, Java 6 and Java 7 are no longer available to the public. Oracle offers updates to Java 5 and Java 6 only for customers who have purchased Java support or have Oracle products that require Java 5, Java 6 and Java 7.(The vendor released updates (Java SE JDK and JRE 8 Update 121 or later, Java SE JDK and JRE 7 Update 131, Java SE JDK and JRE 6 Update 141) to resolve these issues. 
<P>
https://support.oracle.com/rs?type=doc&id=2219954.1
<P>
Updates for Java 5, Java 6 and Java 7 are no longer available to the public. Oracle offers updates to Java 5 and Java 6 only for customers who have purchased Java support or have Oracle products that require Java 5, Java 6 and Java 7.)","CH,Cloud Agent,All",No,No,30,7,"Jan 18, 2017","Jan 17, 2017",Local,CRITICAL,"Public Exploit,Predicted High Risk,Remote Code Execution,Privilege Escalation",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,44,Exploitation could allow an attacker to take complete control of an affected system.,Yes,2,346,,"C:\Program Files (x86)\Java\jre6\bin\wsdetect.dll file version is 6.0.450.6
C:\Program Files (x86)\Java\jdk1.6.0_45\jre\bin\wsdetect.dll file version is 6.0.450.6
C:\Program Files\Java\jdk1.7.0_80\jre\bin\wsdetect.dll file version is 7.0.800.15
"
CVE-2016-5552,"Vulnerability in the Java SE, Java SE Embedded, JRockit component of Oracle Java SE (subcomponent: Networking). Supported versions that are affected are Java SE: 6u131, 7u121 and 8u112; Java SE Embedded: 8u111; JRockit: R28.3.12. Easily exploitable vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE, Java SE Embedded, JRockit. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Java SE, Java SE Embedded, JRockit accessible data. Note: Applies to client and server deployment of Java. This vulnerability can be exploited through sandboxed Java Web Start applications and sandboxed Java applets. It can also be exploited by supplying data to APIs in the specified Component without using sandboxed Java Web Start applications or sandboxed Java applets, such as through a web service. CVSS v3.0 Base Score 5.3 (Integrity impacts).",5,5.3,370280,Oracle Java SE Critical Patch Update - January 2017,5,5,Confirmed,"Mar 3, 2025","Feb 24, 2025",'-,'-,ACTIVE,147238993,SRVCOPMGT05V.czech.net,10.43.217.205,,"The vendor released updates (Java SE JDK and JRE 8 Update 121 or later, Java SE JDK and JRE 7 Update 131, Java SE JDK and JRE 6 Update 141) to resolve these issues. 

Refer to vendor advisory Oracle Java SE CPU January 2017 and Oracle Doc ID 2219954.1 to obtain more details.

Updates for Java 5, Java 6 and Java 7 are no longer available to the public. Oracle offers updates to Java 5 and Java 6 only for customers who have purchased Java support or have Oracle products that require Java 5, Java 6 and Java 7.(The vendor released updates (Java SE JDK and JRE 8 Update 121 or later, Java SE JDK and JRE 7 Update 131, Java SE JDK and JRE 6 Update 141) to resolve these issues. 
<P>
https://support.oracle.com/rs?type=doc&id=2219954.1
<P>
Updates for Java 5, Java 6 and Java 7 are no longer available to the public. Oracle offers updates to Java 5 and Java 6 only for customers who have purchased Java support or have Oracle products that require Java 5, Java 6 and Java 7.)","CH,Cloud Agent,All",No,No,30,7,"Jan 18, 2017","Jan 17, 2017",Local,CRITICAL,"Public Exploit,Predicted High Risk,Remote Code Execution,Privilege Escalation",Microsoft Windows Server 2016 Standard 10.0.14393 64-bit N/A Build 14393 UBR 7785,'-,'-,44,Exploitation could allow an attacker to take complete control of an affected system.,Yes,2,346,,"C:\Program Files (x86)\Java\jre6\bin\wsdetect.dll file version is 6.0.450.6
C:\Program Files (x86)\Java\jdk1.6.0_45\jre\bin\wsdetect.dll file version is 6.0.450.6
C:\Program Files\Java\jdk1.7.0_80\jre\bin\wsdetect.dll file version is 7.0.800.15
"
